request_id,client_id,session_id,request_type,received_at,queued_at,started_at,completed_at,queue_wait_ms,processing_ms,queue_depth,result,thread_name,is_virtual
36d73d31-15c1-4e11-9ead-6b2f95e650b2,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021963935Z,2026-09-19T19:16:15.021966909Z,2026-09-19T19:16:15.031547105Z,2026-09-19T19:16:15.031779537Z,9,0,15,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
26aa325d-a6e9-4a5f-91cc-a53e9318723f,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022048569Z,2026-09-19T19:16:15.022050712Z,2026-09-19T19:16:15.031924600Z,2026-09-19T19:16:15.032159876Z,9,0,16,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
f3c4c614-3ae0-4fea-9133-a2bf541b526e,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022160504Z,2026-09-19T19:16:15.022163529Z,2026-09-19T19:16:15.032234286Z,2026-09-19T19:16:15.032606293Z,10,0,17,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
53662529-6e5b-4fed-a550-eca3ad110d25,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022205610Z,2026-09-19T19:16:15.022207593Z,2026-09-19T19:16:15.032711067Z,2026-09-19T19:16:15.034009638Z,10,1,18,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
9cd3eae4-2ab8-40dc-b1a1-4da8db9158d2,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022378164Z,2026-09-19T19:16:15.022379887Z,2026-09-19T19:16:15.034152959Z,2026-09-19T19:16:15.034383808Z,11,0,19,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
7c8e8264-30f0-4f02-8e64-e5ddc6be3e30,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022412475Z,2026-09-19T19:16:15.022415580Z,2026-09-19T19:16:15.034482654Z,2026-09-19T19:16:15.034676689Z,12,0,20,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
23672e65-2f7d-4734-a42e-a61fca521291,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022512181Z,2026-09-19T19:16:15.022514104Z,2026-09-19T19:16:15.034795023Z,2026-09-19T19:16:15.035349950Z,12,0,21,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
ef5105e5-1445-43ee-9b56-be490b0f2fd6,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022664005Z,2026-09-19T19:16:15.022665957Z,2026-09-19T19:16:15.035429287Z,2026-09-19T19:16:15.035798970Z,12,0,22,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
7c97162e-dc2e-49ae-b229-042b35843223,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022694880Z,2026-09-19T19:16:15.022697945Z,2026-09-19T19:16:15.035934910Z,2026-09-19T19:16:15.036230375Z,13,0,23,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
aa20a84f-1867-471a-b655-ec0ac1331955,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022809148Z,2026-09-19T19:16:15.022811141Z,2026-09-19T19:16:15.036318665Z,2026-09-19T19:16:15.036538268Z,13,0,24,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
5fa32457-f606-41e2-b7f9-5ae4780cd42d,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022968623Z,2026-09-19T19:16:15.022970736Z,2026-09-19T19:16:15.036600950Z,2026-09-19T19:16:15.038434078Z,13,1,25,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
6f90dc35-642c-4c53-b512-d8d7ace3e698,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.022985668Z,2026-09-19T19:16:15.022988983Z,2026-09-19T19:16:15.038542878Z,2026-09-19T19:16:15.039244570Z,15,0,26,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
917d19ea-3049-4a64-bd97-2e2bc307b329,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.023225581Z,2026-09-19T19:16:15.023228526Z,2026-09-19T19:16:15.039357647Z,2026-09-19T19:16:15.039661434Z,16,0,27,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
3fabba4d-8d61-4ff2-8cf0-628b21a38285,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.023416332Z,2026-09-19T19:16:15.023418896Z,2026-09-19T19:16:15.039846165Z,2026-09-19T19:16:15.040089944Z,16,0,28,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
6a51cb06-9df3-478f-b066-54efaea7692b,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.027917865Z,2026-09-19T19:16:15.027921901Z,2026-09-19T19:16:15.040212414Z,2026-09-19T19:16:15.040525615Z,12,0,24,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
8a4e077b-8e5d-4f9b-9563-65d3b199bdb5,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.028112281Z,2026-09-19T19:16:15.028115316Z,2026-09-19T19:16:15.040613915Z,2026-09-19T19:16:15.040837514Z,12,0,25,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
fa5dc3a5-c295-4c28-aca8-df3a791e62ec,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.028297834Z,2026-09-19T19:16:15.028301189Z,2026-09-19T19:16:15.040958111Z,2026-09-19T19:16:15.041158236Z,12,0,25,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
3ecbe99a-05e9-4760-b371-49592cbe6753,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.028492070Z,2026-09-19T19:16:15.028495265Z,2026-09-19T19:16:15.041247367Z,2026-09-19T19:16:15.041495061Z,12,0,25,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
4f538a50-541d-4d60-81c5-1b2daecb1c7d,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.028677894Z,2026-09-19T19:16:15.028680327Z,2026-09-19T19:16:15.041623971Z,2026-09-19T19:16:15.042003149Z,12,0,26,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
25a82732-7c29-4be3-a725-58d8fa1e7bf4,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.028911277Z,2026-09-19T19:16:15.028914391Z,2026-09-19T19:16:15.042122334Z,2026-09-19T19:16:15.042296731Z,13,0,26,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
b888c8aa-b4cc-49b1-939d-f12f0d7ed44a,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.029123099Z,2026-09-19T19:16:15.029125712Z,2026-09-19T19:16:15.042381205Z,2026-09-19T19:16:15.042654077Z,13,0,27,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
18000803-4910-43fb-a28e-ac4607a274e3,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.029273069Z,2026-09-19T19:16:15.029275323Z,2026-09-19T19:16:15.042807012Z,2026-09-19T19:16:15.043005594Z,13,0,27,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
79d6068e-fc95-4d2e-b5aa-cbabfa7240e4,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.029473184Z,2026-09-19T19:16:15.029475687Z,2026-09-19T19:16:15.043098070Z,2026-09-19T19:16:15.043410880Z,13,0,28,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
